,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,TOTAL_PACKET_SIZE
846,0.00722,1.0,130.0,1843.0,5005.0
847,0.014774,-1.0,478.0,3905.0,5140.0
848,0.001764,1.0,66.0,276.0,820.0
849,2.4e-05,-1.0,238.0,382.0,4439.0
850,0.015871,1.0,97.0,2855.0,2921.0
851,0.001781,1.0,66.0,214.0,2976.0
852,0.053697,-1.0,66.0,2901.0,2901.0
853,0.009932,1.0,97.0,1414.0,2209.0
854,0.023612,-1.0,74.0,2293.0,5211.0
855,0.070121,1.0,606.0,820.0,820.0
856,0.075197,-1.0,66.0,3132.0,3132.0
857,0.077774,-1.0,66.0,3063.0,3063.0
858,0.026783,1.0,66.0,3008.0,3501.0
859,0.011446,1.0,66.0,1230.0,3110.0
860,0.010425,1.0,97.0,2666.0,3062.0
861,0.006044,-1.0,66.0,886.0,3066.0
862,0.031839,1.0,66.0,5860.0,22863.0
863,0.008551,1.0,236.0,1596.0,3064.0
864,0.038963,-1.0,140.0,1796.0,3066.0
865,0.089481,-1.0,66.0,3132.0,3132.0
866,0.051493,1.0,236.0,3893.0,4707.0
867,0.041556,1.0,130.0,2328.0,4030.0
868,0.070829,1.0,606.0,820.0,820.0
869,0.01304,1.0,66.0,140.0,952.0
870,0.001734,-1.0,74.0,148.0,3097.0
871,0.066153,-1.0,230.0,6172.0,6918.0
872,0.001465,-1.0,74.0,148.0,3029.0
873,0.0039,1.0,606.0,820.0,3098.0
874,0.076568,1.0,606.0,820.0,820.0
875,0.006224,-1.0,278.0,1090.0,3023.0
876,0.060749,-1.0,140.0,2143.0,3443.0
877,0.073893,1.0,606.0,886.0,3032.0
878,0.082668,-1.0,74.0,148.0,820.0
879,0.034347,-1.0,97.0,2929.0,3162.0
880,0.009074,-1.0,66.0,1558.0,1734.0
881,0.005655,1.0,66.0,1230.0,3034.0
882,0.005378,-1.0,278.0,1164.0,3097.0
883,0.0,1.0,606.0,606.0,2815.0
884,0.002008,-1.0,74.0,148.0,3097.0
885,0.071966,-1.0,74.0,148.0,820.0
886,0.007572,1.0,236.0,2032.0,3008.0
887,0.073571,-1.0,74.0,148.0,820.0
888,0.051049,-1.0,66.0,3005.0,3005.0
889,0.004732,-1.0,278.0,1164.0,3088.0
890,0.051739,-1.0,66.0,3088.0,3088.0
891,0.005438,1.0,66.0,1230.0,3088.0
892,0.009285,-1.0,97.0,2855.0,3088.0
893,0.006223,-1.0,278.0,1164.0,3002.0
894,0.011829,-1.0,140.0,2531.0,3002.0
895,0.047016,1.0,97.0,2760.0,3068.0
896,0.070957,1.0,606.0,820.0,820.0
897,0.082326,1.0,66.0,214.0,820.0
898,0.00825,1.0,97.0,2695.0,3003.0
899,0.082743,1.0,606.0,886.0,3024.0
900,0.053842,-1.0,66.0,2877.0,2877.0
901,0.0,-1.0,150.0,150.0,663.0
902,0.003013,1.0,105.0,591.0,898.0
903,0.037253,-1.0,66.0,2827.0,3157.0
904,0.054504,-1.0,230.0,1656.0,3026.0
905,0.005626,-1.0,97.0,1903.0,6541.0
906,0.050848,-1.0,66.0,3090.0,3090.0
907,0.006406,1.0,66.0,2525.0,2930.0
908,0.052854,1.0,66.0,2418.0,5295.0
909,0.03207,1.0,74.0,140.0,140.0
910,0.075294,-1.0,278.0,7399.0,9107.0
911,0.009455,1.0,66.0,2599.0,3092.0
912,0.029031,1.0,105.0,3662.0,3802.0
913,0.009097,-1.0,230.0,2392.0,3003.0
914,0.029053,1.0,66.0,3732.0,7244.0
915,0.051089,-1.0,66.0,3091.0,3091.0
916,0.006238,1.0,606.0,820.0,3091.0
917,0.050396,-1.0,66.0,3090.0,3090.0
918,0.05126,1.0,130.0,1445.0,3112.0
919,0.005221,-1.0,66.0,886.0,3091.0
920,0.04447,1.0,97.0,3102.0,3498.0
921,0.013244,-1.0,101.0,2961.0,3093.0
922,0.047464,1.0,66.0,2938.0,3004.0
923,0.007997,1.0,66.0,2602.0,3095.0
924,0.005806,-1.0,278.0,1164.0,3093.0
925,0.003402,1.0,66.0,418.0,663.0
926,0.050152,-1.0,66.0,3092.0,3092.0
927,0.007498,1.0,97.0,2699.0,3095.0
928,0.008509,1.0,66.0,2599.0,3092.0
929,9.1e-05,1.0,444.0,1569.0,6261.0
930,3.5e-05,1.0,66.0,140.0,2092.0
931,0.002184,-1.0,66.0,132.0,132.0
932,0.069222,-1.0,278.0,1109.0,2113.0
933,0.071157,1.0,130.0,1286.0,2093.0
934,0.072928,1.0,66.0,1156.0,2093.0
935,0.070241,-1.0,278.0,1090.0,2095.0
936,0.079284,-1.0,101.0,325.0,391.0
937,0.001776,-1.0,151.0,283.0,946.0
938,0.059177,-1.0,66.0,5751.0,8627.0
939,0.01399,1.0,66.0,457.0,457.0
940,0.030032,1.0,97.0,3918.0,4785.0
