,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,157.240.13.0-255,66,66,83,66
1,0.0,157.240.13.0-255,231,231,83,547
2,1.2e-05,172.31.47.0-255,66,297,83,547
3,0.008785,172.31.47.0-255,149,446,83,547
4,0.010828,157.240.13.0-255,101,547,83,547
5,0.0,157.240.13.0-255,229,229,83,612
6,1.6e-05,172.31.47.0-255,66,295,83,612
7,0.007437,172.31.47.0-255,216,511,83,612
8,0.009445,157.240.13.0-255,101,612,83,612
9,0.0,157.240.13.0-255,66,66,83,66
10,0.0,157.240.13.0-255,231,231,83,547
11,1.6e-05,172.31.47.0-255,66,297,83,547
12,0.007701,172.31.47.0-255,149,446,83,547
13,0.009732,157.240.13.0-255,101,547,83,547
14,0.0,157.240.13.0-255,230,230,83,546
15,1.4e-05,172.31.47.0-255,66,296,83,546
16,0.006366,172.31.47.0-255,149,445,83,546
17,0.008342,157.240.13.0-255,101,546,83,546
18,0.0,157.240.13.0-255,233,233,83,691
19,1e-05,172.31.47.0-255,66,299,83,691
20,0.007934,172.31.47.0-255,291,590,83,691
21,0.009585,157.240.13.0-255,101,691,83,691
22,0.0,157.240.13.0-255,228,228,83,611
23,1e-05,172.31.47.0-255,66,294,83,611
24,0.007148,172.31.47.0-255,216,510,83,611
25,0.009444,157.240.13.0-255,101,611,83,611
26,0.0,157.240.13.0-255,229,229,83,545
27,1.3e-05,172.31.47.0-255,66,295,83,545
28,0.007993,172.31.47.0-255,149,444,83,545
29,0.010268,157.240.13.0-255,101,545,83,545
30,0.0,157.240.7.0-255,66,66,83,66
31,0.0,157.240.13.0-255,252,252,83,568
32,1.5e-05,172.31.47.0-255,66,318,83,568
33,0.007632,172.31.47.0-255,149,467,83,568
34,0.009958,157.240.13.0-255,101,568,83,568
35,0.0,157.240.13.0-255,251,251,83,567
36,1.1e-05,172.31.47.0-255,66,317,83,567
37,0.006865,172.31.47.0-255,149,466,83,567
38,0.008578,157.240.13.0-255,101,567,83,567
39,0.0,172.31.47.0-255,66,66,83,66
40,0.0,31.13.82.0-255,101,101,83,167
41,1.9e-05,172.31.47.0-255,66,167,83,167
42,0.0,157.240.13.0-255,234,234,83,635
