,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,104.244.42.0-255,66,66,62,66
1,0.0,104.244.42.0-255,66,66,62,66
2,0.0,157.240.7.0-255,66,66,62,132
3,0.011783,104.244.42.0-255,66,132,62,132
4,0.0,104.244.42.0-255,66,66,62,264
5,0.006736,31.13.82.0-255,66,132,62,264
6,0.013987,31.13.82.0-255,66,198,62,264
7,0.051475,31.13.82.0-255,66,264,62,264
8,0.0,157.240.7.0-255,66,66,62,132
9,0.01415,104.244.42.0-255,66,132,62,132
10,0.0,104.244.42.0-255,66,66,62,66
11,0.0,31.13.82.0-255,66,66,62,264
12,0.003991,104.244.42.0-255,66,132,62,264
13,0.011416,31.13.82.0-255,66,198,62,264
14,0.055563,31.13.82.0-255,66,264,62,264
15,0.0,104.244.42.0-255,66,66,62,264
16,0.005164,31.13.82.0-255,66,132,62,264
17,0.011682,31.13.82.0-255,66,198,62,264
18,0.05311,31.13.82.0-255,66,264,62,264
19,0.0,104.244.42.0-255,66,66,62,66
20,0.0,104.244.42.0-255,66,66,62,264
21,0.016768,31.13.82.0-255,66,132,62,264
22,0.022955,31.13.82.0-255,66,198,62,264
23,0.060832,31.13.82.0-255,66,264,62,264
24,0.0,157.240.7.0-255,66,66,62,132
25,0.010855,104.244.42.0-255,66,132,62,132
26,0.0,157.240.7.0-255,66,66,62,132
27,0.015212,104.244.42.0-255,66,132,62,132
28,0.0,104.244.42.0-255,66,66,62,66
29,0.0,157.240.13.0-255,66,66,62,132
30,0.016918,104.244.42.0-255,66,132,62,132
31,0.0,104.244.42.0-255,66,66,62,264
32,0.010485,31.13.82.0-255,66,132,62,264
33,0.014427,31.13.82.0-255,66,198,62,264
34,0.051983,31.13.82.0-255,66,264,62,264
35,0.0,104.244.42.0-255,66,66,62,66
36,0.0,157.240.13.0-255,95,95,62,979
37,1.1e-05,172.31.40.0-255,66,161,62,979
38,0.003908,157.240.13.0-255,66,227,62,979
39,0.004078,172.31.40.0-255,90,317,62,979
40,0.00409,172.31.40.0-255,66,383,62,979
41,0.005506,157.240.13.0-255,66,449,62,979
42,0.005515,157.240.13.0-255,66,515,62,979
43,0.027115,104.244.42.0-255,173,688,62,979
44,0.027132,172.31.40.0-255,66,754,62,979
45,0.038499,172.31.40.0-255,159,913,62,979
46,0.039966,104.244.42.0-255,66,979,62,979
47,0.0,104.244.42.0-255,66,66,62,264
48,0.012363,31.13.82.0-255,66,132,62,264
49,0.017631,31.13.82.0-255,66,198,62,264
50,0.054059,31.13.82.0-255,66,264,62,264
51,0.0,104.244.42.0-255,66,66,62,66
52,0.0,104.244.42.0-255,66,66,62,66
53,0.0,104.244.42.0-255,66,66,62,264
54,0.013512,31.13.82.0-255,66,132,62,264
55,0.017125,31.13.82.0-255,66,198,62,264
56,0.056277,31.13.82.0-255,66,264,62,264
57,0.0,157.240.7.0-255,66,66,62,132
58,0.010976,104.244.42.0-255,66,132,62,132
59,0.0,104.244.42.0-255,66,66,62,264
60,0.015028,31.13.82.0-255,66,132,62,264
61,0.019741,31.13.82.0-255,66,198,62,264
62,0.058908,31.13.82.0-255,66,264,62,264
63,0.0,104.244.42.0-255,66,66,62,66
64,0.0,104.244.42.0-255,66,66,62,66
65,0.0,104.244.42.0-255,66,66,62,66
66,0.0,104.244.42.0-255,66,66,62,66
67,0.0,104.244.42.0-255,66,66,62,264
68,0.008276,31.13.82.0-255,66,132,62,264
69,0.013472,31.13.82.0-255,66,198,62,264
70,0.052243,31.13.82.0-255,66,264,62,264
71,0.0,104.244.42.0-255,66,66,62,66
72,0.0,157.240.13.0-255,66,66,62,132
73,0.012497,104.244.42.0-255,66,132,62,132
74,0.0,104.244.42.0-255,66,66,62,264
75,0.007818,31.13.82.0-255,66,132,62,264
76,0.01178,31.13.82.0-255,66,198,62,264
77,0.054476,31.13.82.0-255,66,264,62,264
78,0.0,104.244.42.0-255,66,66,62,264
79,0.018382,31.13.82.0-255,66,132,62,264
80,0.023707,31.13.82.0-255,66,198,62,264
81,0.062312,31.13.82.0-255,66,264,62,264
82,0.0,157.240.13.0-255,66,66,62,132
83,0.013654,104.244.42.0-255,66,132,62,132
84,0.0,104.244.42.0-255,66,66,62,66
85,0.0,157.240.7.0-255,66,66,62,132
86,0.015006,104.244.42.0-255,66,132,62,132
87,0.0,104.244.42.0-255,66,66,62,264
88,0.005861,31.13.82.0-255,66,132,62,264
89,0.010855,31.13.82.0-255,66,198,62,264
90,0.051895,31.13.82.0-255,66,264,62,264
91,0.0,104.244.42.0-255,66,66,62,66
92,0.0,157.240.13.0-255,66,66,62,132
93,0.011158,104.244.42.0-255,66,132,62,132
94,0.0,104.244.42.0-255,66,66,62,66
95,0.0,104.244.42.0-255,66,66,62,66
96,0.0,104.244.42.0-255,66,66,62,66
97,0.0,104.244.42.0-255,66,66,62,264
98,0.012774,31.13.82.0-255,66,132,62,264
99,0.015576,31.13.82.0-255,66,198,62,264
100,0.057273,31.13.82.0-255,66,264,62,264
101,0.0,104.244.42.0-255,66,66,62,264
102,0.014511,31.13.82.0-255,66,132,62,264
103,0.019727,31.13.82.0-255,66,198,62,264
104,0.061209,31.13.82.0-255,66,264,62,264
105,0.0,104.244.42.0-255,66,66,62,66
106,0.0,104.244.42.0-255,66,66,62,264
107,0.017726,31.13.82.0-255,66,132,62,264
108,0.022082,31.13.82.0-255,66,198,62,264
109,0.063349,31.13.82.0-255,66,264,62,264
110,0.0,104.244.42.0-255,66,66,62,66
111,0.0,104.244.42.0-255,66,66,62,66
112,0.0,104.244.42.0-255,66,66,62,449
113,0.084415,157.240.7.0-255,95,161,62,449
114,0.084428,172.31.40.0-255,66,227,62,449
115,0.089655,157.240.7.0-255,66,293,62,449
116,0.089796,172.31.40.0-255,90,383,62,449
117,0.089807,172.31.40.0-255,66,449,62,449
118,0.0,104.244.42.0-255,66,66,62,264
119,0.010677,31.13.82.0-255,66,132,62,264
120,0.014917,31.13.82.0-255,66,198,62,264
121,0.059422,31.13.82.0-255,66,264,62,264
122,0.0,157.240.7.0-255,66,66,62,132
123,0.027069,104.244.42.0-255,66,132,62,132
124,0.0,104.244.42.0-255,66,66,62,132
125,0.058854,31.13.82.0-255,66,132,62,132
126,0.0,157.240.7.0-255,66,66,62,132
127,0.025555,104.244.42.0-255,66,132,62,132
128,0.0,104.244.42.0-255,66,66,62,264
129,0.010184,31.13.82.0-255,66,132,62,264
130,0.01554,31.13.82.0-255,66,198,62,264
131,0.055949,31.13.82.0-255,66,264,62,264
132,0.0,104.244.42.0-255,66,66,62,264
133,0.019409,31.13.82.0-255,66,132,62,264
134,0.024529,31.13.82.0-255,66,198,62,264
135,0.055422,31.13.82.0-255,66,264,62,264
136,0.0,104.244.42.0-255,66,66,62,66
137,0.0,157.240.13.0-255,66,66,62,132
138,0.010795,104.244.42.0-255,66,132,62,132
139,0.0,104.244.42.0-255,66,66,62,66
140,0.0,104.244.42.0-255,66,66,62,66
141,0.0,157.240.7.0-255,66,66,62,198
142,0.015954,172.31.40.0-255,66,132,62,198
143,0.020337,104.244.42.0-255,66,198,62,198
144,0.0,104.244.42.0-255,66,66,62,264
145,0.011732,31.13.82.0-255,66,132,62,264
146,0.019109,31.13.82.0-255,66,198,62,264
147,0.058174,31.13.82.0-255,66,264,62,264
148,0.0,157.240.7.0-255,66,66,62,132
149,0.009342,104.244.42.0-255,66,132,62,132
150,0.0,157.240.13.0-255,66,66,62,132
151,0.01473,104.244.42.0-255,66,132,62,132
152,0.0,157.240.13.0-255,66,66,62,132
153,0.011871,104.244.42.0-255,66,132,62,132
154,0.0,104.244.42.0-255,66,66,62,66
155,0.0,104.244.42.0-255,66,66,62,66
156,0.0,157.240.13.0-255,66,66,62,132
157,0.018329,104.244.42.0-255,66,132,62,132
158,0.0,104.244.42.0-255,66,66,62,264
159,0.009752,31.13.82.0-255,66,132,62,264
160,0.015341,31.13.82.0-255,66,198,62,264
161,0.055332,31.13.82.0-255,66,264,62,264
162,0.0,157.240.7.0-255,66,66,62,132
163,0.033845,104.244.42.0-255,66,132,62,132
164,0.0,104.244.42.0-255,66,66,62,66
165,0.0,104.244.42.0-255,66,66,62,66
166,0.0,104.244.42.0-255,66,66,62,66
167,0.0,104.244.42.0-255,66,66,62,66
168,0.0,157.240.13.0-255,66,66,62,132
169,0.011266,104.244.42.0-255,66,132,62,132
170,0.0,104.244.42.0-255,66,66,62,264
171,0.010282,31.13.82.0-255,66,132,62,264
172,0.013639,31.13.82.0-255,66,198,62,264
173,0.054357,31.13.82.0-255,66,264,62,264
174,0.0,104.244.42.0-255,66,66,62,264
175,0.027267,31.13.82.0-255,66,132,62,264
176,0.032575,31.13.82.0-255,66,198,62,264
177,0.065591,31.13.82.0-255,66,264,62,264
178,0.0,157.240.7.0-255,66,66,62,132
179,0.015399,104.244.42.0-255,66,132,62,132
180,0.0,157.240.7.0-255,66,66,62,132
181,0.013996,104.244.42.0-255,66,132,62,132
182,0.0,104.244.42.0-255,66,66,62,66
183,0.0,157.240.13.0-255,66,66,62,132
184,0.013312,104.244.42.0-255,66,132,62,132
185,0.0,104.244.42.0-255,66,66,62,132
