,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,172.31.46.0-255,862,862,51,3661
1,4.2e-05,172.31.46.0-255,576,1438,51,3661
2,0.002341,74.125.24.0-255,66,1504,51,3661
3,0.002368,74.125.24.0-255,66,1570,51,3661
4,0.006658,74.125.24.0-255,150,1720,51,3661
5,0.006691,74.125.24.0-255,97,1817,51,3661
6,0.006716,74.125.24.0-255,105,1922,51,3661
7,0.00701,172.31.46.0-255,66,1988,51,3661
8,0.00705,172.31.46.0-255,105,2093,51,3661
9,0.014109,74.125.24.0-255,66,2159,51,3661
10,0.014557,172.31.46.0-255,750,2909,51,3661
11,0.014668,172.31.46.0-255,97,3006,51,3661
12,0.016849,74.125.24.0-255,66,3072,51,3661
13,0.016971,74.125.24.0-255,66,3138,51,3661
14,0.01849,74.125.24.0-255,150,3288,51,3661
15,0.018538,74.125.24.0-255,97,3385,51,3661
16,0.018564,74.125.24.0-255,105,3490,51,3661
17,0.018772,172.31.46.0-255,66,3556,51,3661
18,0.018811,172.31.46.0-255,105,3661,51,3661
19,0.0,157.240.13.0-255,66,66,51,2205
20,0.00033,157.240.13.0-255,278,344,51,2205
21,0.000341,172.31.46.0-255,66,410,51,2205
22,0.004543,172.31.46.0-255,130,540,51,2205
23,0.006342,157.240.13.0-255,230,770,51,2205
24,0.0064,157.240.13.0-255,140,910,51,2205
25,0.012446,157.240.13.0-255,140,1050,51,2205
26,0.012455,172.31.46.0-255,78,1128,51,2205
27,0.01331,172.31.46.0-255,236,1364,51,2205
28,0.013335,172.31.46.0-255,568,1932,51,2205
29,0.014439,172.31.46.0-255,97,2029,51,2205
30,0.015067,157.240.13.0-255,66,2095,51,2205
31,0.016032,157.240.13.0-255,110,2205,51,2205
32,0.0,172.217.194.0-255,66,66,51,66
33,0.0,172.31.46.0-255,241,241,51,2921
34,3e-05,172.31.46.0-255,894,1135,51,2921
35,0.000115,172.31.46.0-255,435,1570,51,2921
36,0.002531,172.217.194.0-255,66,1636,51,2921
37,0.002543,172.217.194.0-255,66,1702,51,2921
38,0.002637,172.217.194.0-255,66,1768,51,2921
39,0.010235,172.217.194.0-255,151,1919,51,2921
40,0.010251,172.217.194.0-255,342,2261,51,2921
41,0.010389,172.217.194.0-255,318,2579,51,2921
42,0.010464,172.217.194.0-255,105,2684,51,2921
43,0.011471,172.31.46.0-255,66,2750,51,2921
44,0.011519,172.31.46.0-255,105,2855,51,2921
45,0.018478,172.217.194.0-255,66,2921,51,2921
46,0.0,172.31.46.0-255,74,74,51,3027
47,0.001729,157.240.13.0-255,74,148,51,3027
48,0.001747,172.31.46.0-255,66,214,51,3027
49,0.003405,172.31.46.0-255,606,820,51,3027
50,0.005134,157.240.13.0-255,66,886,51,3027
51,0.005388,157.240.13.0-255,278,1164,51,3027
52,0.0054,172.31.46.0-255,66,1230,51,3027
53,0.006102,172.31.46.0-255,130,1360,51,3027
54,0.007591,172.31.46.0-255,236,1596,51,3027
55,0.007628,172.31.46.0-255,568,2164,51,3027
56,0.007892,157.240.13.0-255,230,2394,51,3027
57,0.007943,157.240.13.0-255,140,2534,51,3027
58,0.00835,172.31.46.0-255,66,2600,51,3027
59,0.008445,172.31.46.0-255,97,2697,51,3027
60,0.00934,157.240.13.0-255,66,2763,51,3027
61,0.009365,157.240.13.0-255,97,2860,51,3027
62,0.0097,157.240.13.0-255,101,2961,51,3027
63,0.00978,172.31.46.0-255,66,3027,51,3027
64,0.0,172.31.46.0-255,74,74,51,3028
65,0.001725,157.240.13.0-255,74,148,51,3028
66,0.001744,172.31.46.0-255,66,214,51,3028
67,0.003433,172.31.46.0-255,606,820,51,3028
68,0.005166,157.240.13.0-255,66,886,51,3028
69,0.005473,157.240.13.0-255,278,1164,51,3028
70,0.005482,172.31.46.0-255,66,1230,51,3028
71,0.006464,172.31.46.0-255,130,1360,51,3028
