,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,157.240.13.0-255,74,74,96,2923
1,1.8e-05,172.31.47.0-255,66,140,96,2923
2,0.001657,172.31.47.0-255,606,746,96,2923
3,0.003379,157.240.13.0-255,66,812,96,2923
4,0.003609,157.240.13.0-255,278,1090,96,2923
5,0.003618,172.31.47.0-255,66,1156,96,2923
6,0.004235,172.31.47.0-255,130,1286,96,2923
7,0.005803,172.31.47.0-255,236,1522,96,2923
8,0.005826,172.31.47.0-255,538,2060,96,2923
9,0.006505,157.240.13.0-255,230,2290,96,2923
10,0.006548,157.240.13.0-255,140,2430,96,2923
11,0.007543,157.240.13.0-255,66,2496,96,2923
12,0.007551,157.240.13.0-255,97,2593,96,2923
13,0.007686,172.31.47.0-255,97,2690,96,2923
14,0.007794,157.240.13.0-255,101,2791,96,2923
15,0.047497,172.31.47.0-255,66,2857,96,2923
16,0.050958,157.240.13.0-255,66,2923,96,2923
17,0.0,172.31.47.0-255,74,74,96,3062
18,0.002022,157.240.13.0-255,74,148,96,3062
19,0.002048,172.31.47.0-255,66,214,96,3062
20,0.003509,172.31.47.0-255,606,820,96,3062
21,0.005514,157.240.13.0-255,66,886,96,3062
22,0.005849,157.240.13.0-255,278,1164,96,3062
23,0.005869,172.31.47.0-255,66,1230,96,3062
24,0.006417,172.31.47.0-255,130,1360,96,3062
25,0.00779,172.31.47.0-255,236,1596,96,3062
26,0.007816,172.31.47.0-255,537,2133,96,3062
27,0.008542,157.240.13.0-255,230,2363,96,3062
28,0.008613,157.240.13.0-255,140,2503,96,3062
29,0.009291,172.31.47.0-255,66,2569,96,3062
30,0.009817,157.240.13.0-255,66,2635,96,3062
31,0.009857,157.240.13.0-255,97,2732,96,3062
32,0.009972,172.31.47.0-255,97,2829,96,3062
33,0.010278,157.240.13.0-255,101,2930,96,3062
34,0.047888,172.31.47.0-255,66,2996,96,3062
35,0.052347,157.240.13.0-255,66,3062,96,3062
36,0.0,172.31.47.0-255,130,130,96,1765
37,0.001774,157.240.13.0-255,230,360,96,1765
38,0.001821,157.240.13.0-255,140,500,96,1765
39,0.002082,172.31.47.0-255,236,736,96,1765
40,0.002104,172.31.47.0-255,536,1272,96,1765
41,0.002804,172.31.47.0-255,97,1369,96,1765
42,0.003813,157.240.13.0-255,66,1435,96,1765
43,0.00386,157.240.13.0-255,97,1532,96,1765
44,0.004154,157.240.13.0-255,101,1633,96,1765
45,0.004724,172.31.47.0-255,66,1699,96,1765
46,0.045321,157.240.13.0-255,66,1765,96,1765
47,0.0,172.217.194.0-255,66,66,96,1695
48,0.033313,172.31.47.0-255,742,808,96,1695
49,0.033419,172.31.47.0-255,97,905,96,1695
50,0.03558,172.217.194.0-255,66,971,96,1695
51,0.035708,172.217.194.0-255,66,1037,96,1695
52,0.037721,172.217.194.0-255,145,1182,96,1695
53,0.037782,172.217.194.0-255,97,1279,96,1695
54,0.037796,172.217.194.0-255,105,1384,96,1695
55,0.039925,172.31.47.0-255,66,1450,96,1695
56,0.039954,172.31.47.0-255,105,1555,96,1695
57,0.040041,172.31.47.0-255,74,1629,96,1695
58,0.04666,172.217.194.0-255,66,1695,96,1695
59,0.0,74.125.200.0-255,66,66,96,721
60,0.00136,74.125.200.0-255,142,208,96,721
61,0.00139,74.125.200.0-255,97,305,96,721
62,0.001461,74.125.200.0-255,105,410,96,721
63,0.002606,172.31.47.0-255,66,476,96,721
64,0.002649,172.31.47.0-255,105,581,96,721
65,0.0102,74.125.200.0-255,66,647,96,721
66,0.042865,172.31.47.0-255,74,721,96,721
67,0.0,172.31.47.0-255,74,74,96,2974
68,0.001739,157.240.13.0-255,74,148,96,2974
69,0.001756,172.31.47.0-255,66,214,96,2974
70,0.003198,172.31.47.0-255,606,820,96,2974
71,0.00495,157.240.13.0-255,66,886,96,2974
72,0.005257,157.240.13.0-255,278,1164,96,2974
73,0.005265,172.31.47.0-255,66,1230,96,2974
74,0.010404,172.31.47.0-255,130,1360,96,2974
75,0.011578,172.31.47.0-255,236,1596,96,2974
76,0.011602,172.31.47.0-255,537,2133,96,2974
77,0.012198,157.240.13.0-255,230,2363,96,2974
78,0.012257,157.240.13.0-255,140,2503,96,2974
79,0.012782,172.31.47.0-255,66,2569,96,2974
80,0.013329,157.240.13.0-255,66,2635,96,2974
81,0.013446,172.31.47.0-255,97,2732,96,2974
82,0.013849,157.240.13.0-255,110,2842,96,2974
83,0.053508,172.31.47.0-255,66,2908,96,2974
84,0.055861,157.240.13.0-255,66,2974,96,2974
85,0.0,172.31.47.0-255,74,74,96,2973
86,0.002022,157.240.13.0-255,74,148,96,2973
87,0.002047,172.31.47.0-255,66,214,96,2973
88,0.005232,172.31.47.0-255,606,820,96,2973
89,0.007241,157.240.13.0-255,66,886,96,2973
90,0.007505,157.240.13.0-255,278,1164,96,2973
91,0.007519,172.31.47.0-255,66,1230,96,2973
92,0.008292,172.31.47.0-255,130,1360,96,2973
93,0.009807,172.31.47.0-255,236,1596,96,2973
94,0.009838,172.31.47.0-255,536,2132,96,2973
