,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,172.31.33.0-255,294,294,40,294
1,0.0,157.240.7.0-255,211,211,40,785
2,2.5e-05,172.31.33.0-255,66,277,40,785
3,0.009458,172.31.33.0-255,407,684,40,785
4,0.011539,157.240.7.0-255,101,785,40,785
5,0.0,31.13.82.0-255,101,101,40,167
6,2.3e-05,172.31.33.0-255,66,167,40,167
7,0.0,31.13.82.0-255,101,101,40,167
8,1.3e-05,172.31.33.0-255,66,167,40,167
9,0.0,172.31.33.0-255,295,295,40,295
10,0.0,172.217.194.0-255,66,66,40,361
11,0.019954,172.31.33.0-255,295,361,40,361
12,0.0,172.31.33.0-255,224,224,40,391
13,0.001687,157.240.7.0-255,101,325,40,391
14,0.001712,172.31.33.0-255,66,391,40,391
15,0.0,74.125.24.0-255,66,66,40,66
16,0.0,157.240.7.0-255,211,211,40,540
17,2.5e-05,172.31.33.0-255,66,277,40,540
18,0.013632,172.31.33.0-255,162,439,40,540
19,0.015948,157.240.7.0-255,101,540,40,540
20,0.0,172.31.33.0-255,295,295,40,295
21,0.0,172.31.33.0-255,224,224,40,224
22,0.0,172.31.33.0-255,224,224,40,391
23,0.002077,157.240.7.0-255,101,325,40,391
24,0.0021,172.31.33.0-255,66,391,40,391
25,0.0,172.31.33.0-255,298,298,40,570
26,0.002446,157.240.13.0-255,101,399,40,570
27,0.002457,172.31.33.0-255,66,465,40,570
28,0.013339,172.31.33.0-255,105,570,40,570
29,0.0,172.31.33.0-255,305,305,40,472
30,0.002183,157.240.13.0-255,101,406,40,472
31,0.002205,172.31.33.0-255,66,472,40,472
32,0.0,172.31.33.0-255,225,225,40,392
33,0.002091,157.240.7.0-255,101,326,40,392
34,0.0021,172.31.33.0-255,66,392,40,392
35,0.0,172.31.33.0-255,224,224,40,391
36,0.002315,157.240.7.0-255,101,325,40,391
37,0.002326,172.31.33.0-255,66,391,40,391
38,0.0,172.217.194.0-255,66,66,40,2368
39,1.1e-05,172.217.194.0-255,66,132,40,2368
40,8.5e-05,172.217.194.0-255,66,198,40,2368
41,0.003633,172.217.194.0-255,162,360,40,2368
42,0.003812,172.217.194.0-255,97,457,40,2368
